Donor_id,Amount,Project_id
UD0,75.00,53106728454549540FW50071
UD1,91.00,53503475814015448QV76230
UD2,57.00,53369144774195990DC96528
UD3,19.00,53678042400837709RK27159
UD4,27.00,53387585126140441DJ26161
UD5,10.00,53659851665964736FA54604
UD6,26.00,53797821351151438IG85505
UD7,19.00,53545188092911183UB22826
UD8,26.00,53657751452140584MN81131
UD9,26.00,53478325801436139WE18522
UD10,94.00,53961769405680343HN35900
UD11,99.00,53940529641684188FF57536
UD12,85.00,53213284277331914XZ83196
UD13,85.00,53134041364805629KS24680
UD14,64.00,53257592317556699VF15736
UD15,98.00,53249183205141757YE53565
UD16,50.00,53645139747678593IN29075
UD17,29.00,53968332530548687LR43522
UD18,68.00,53196544424064241RN73451
UD19,58.00,53915944371081393HE24432
UD20,73.00,53610598313197325YH59384
UD21,64.00,53234056439825390BE12064
UD22,53.00,53555491822799397OJ51492
UD23,85.00,53563021300244066WL34124
UD24,26.00,53670700666500207JP64079
UD25,13.00,53832319805050306CE79358
UD26,76.00,53330172298896231NL73956
UD27,55.00,53895548633642911OU50990
UD28,92.00,53739706238648580DO87741
UD29,44.00,53340938430191174WP86243
UD30,27.00,53697636494233057QU53184
UD31,63.00,53826034756441948LV74907
UD32,62.00,53227668045452457AR23822
UD33,95.00,53129461311979648GW49702
UD34,75.00,53340150901283930BC26763
UD35,86.00,53678021313804067NY69787
UD36,43.00,53534907417730585DG48297
UD37,50.00,53874523662616330UB46893
UD38,64.00,53291952491312735KB49362
UD39,55.00,53543236611502170DZ10453
UD40,95.00,53409126515891650ES10410
UD41,17.00,53885282094132093BA37715
UD42,36.00,53713268900185800FY73459
UD43,42.00,53427743143234328CM23485
UD44,88.00,53280394597501348VE99912
UD45,39.00,53759457306220641AT73994
UD46,52.00,53391487264550159SY68542
UD47,67.00,53593208878217334YT23271
UD48,55.00,53133057381111316JG11935
UD49,29.00,53556242662768290EE20933
UD50,32.00,53274465920638886SL86067
UD51,82.00,53996126514459403KP18497
UD52,62.00,53925324952698919BT73856
UD53,33.00,53886010603785836DP77910
UD54,63.00,53723932251872872SS89356
UD55,67.00,53290687234588678SL35404
UD56,89.00,53802040627034340MT77343
UD57,65.00,53544078018943768KB53369
UD58,76.00,53793001559878068TR61730
UD59,88.00,53490229151447111PD88450
UD60,49.00,53873591272286396DP80270
UD61,83.00,53905049732365520LR72407
UD62,50.00,53704076324324468SH50707
UD63,83.00,53284316485813489OB42316
UD64,59.00,53613116070705257WS67596
UD65,63.00,53224728843030660FR46464
UD66,86.00,53488158003420087OR39592
UD67,12.00,53451860159323715TM33843
UD68,47.00,53303020205572114QC97858
UD69,31.00,53281934615938602EZ97000
UD70,97.00,53199436169270646KX76899
UD71,97.00,53467214991306039QW59866
UD72,95.00,53717632568166992AF32226
UD73,63.00,53752706581086874GS84318
UD74,58.00,53126689741325358KE39924
UD75,22.00,53119331900118709YX43554
UD76,69.00,53779071119847912FR38256
UD77,33.00,53511165791747870KN65427
UD78,46.00,53375531620824945IX13717
UD79,80.00,53108849614987267TL16579
UD80,81.00,53904570748646281FU16288
UD81,94.00,53776434932073454DU93049
UD82,16.00,53534232343186402QO50825
UD83,89.00,53874898889732101SE56354
