Fund_id,Project_id,Donor_num,Cum_amount,Target_amount
519,53106728454549540FW50071,79,580.22,396000.00 
722,53503475814015448QV76230,884,25862.47,300000.00 
721,53369144774195990DC96528,464,10293.41,500000.00 
725,53678042400837709RK27159,559,7489.79,600000.00 
754,53387585126140441DJ26161,111,1416.2,69867.00 
166,53659851665964736FA54604,73,490.33,321650.00 
765,53797821351151438IG85505,33,123.77,207110.00 
408,53545188092911183UB22826,1415,41127.55,556500.00 
737,53657751452140584MN81131,1175,31081.67,680400.00 
736,53478325801436139WE18522,3730,58322.49,1000000.00 
402,53961769405680343HN35900,1432,53531.64,1000000.00 
752,53940529641684188FF57536,2955,125368.8,1000000.00 
717,53213284277331914XZ83196,7649,160363.65,795543.00 
727,53134041364805629KS24680,20230,214422.22,1633332.00 
794,53257592317556699VF15736,1716,11526.94,2000000.00 
794,53249183205141757YE53565,1248,9560.45,5000000.00 
212,53645139747678593IN29075,164,527.29,100000.00 
985,53968332530548687LR43522,137,296.02,364480.00 
292,53196544424064241RN73451,981,11302.69,200000.00 
725,53915944371081393HE24432,125,429.02,214500.00 
333,53610598313197325YH59384,1530,14206.11,374500.00 
985,53234056439825390BE12064,301,1706.89,1631700.00 
985,53555491822799397OJ51492,236,2924.36,622195.00 
749,53563021300244066WL34124,229,10145.96,1021592.00 
299,53670700666500207JP64079,53,153.6,600000.00 
406,53832319805050306CE79358,74,386.55,220000.00 
191,53330172298896231NL73956,700,2493.21,56200.00 
212,53895548633642911OU50990,374,2713.03,80000.00 
866,53739706238648580DO87741,559,67285.34,1112176.00 
212,53340938430191174WP86243,148,3573.9,108000.00 
754,53697636494233057QU53184,34,50.81,158000.00 
719,53826034756441948LV74907,28,248.13,51508.00 
272,53227668045452457AR23822,596,1637.84,820600.00 
272,53129461311979648GW49702,408,3938.69,945041.00 
736,53340150901283930BC26763,413,1128.09,25820.00 
755,53678021313804067NY69787,324,1869.96,70000.00 
869,53534907417730585DG48297,261,1908.1,660000.00 
755,53874523662616330UB46893,330,1464.55,150000.00 
573,53291952491312735KB49362,20,20.47,268811.00 
134,53543236611502170DZ10453,204,740.16,73903.00 
420,53409126515891650ES10410,289,2439.45,500000.00 
884,53885282094132093BA37715,423,9864.71,1000000.00 
725,53713268900185800FY73459,27,39.17,80800.00 
725,53427743143234328CM23485,331,8014.52,375650.00 
749,53280394597501348VE99912,29,154.71,240000.00 
765,53759457306220641AT73994,153,1922.51,100000.00 
765,53391487264550159SY68542,70,78.03,63236.00 
134,53593208878217334YT23271,57,387.54,664414.00 
725,53133057381111316JG11935,1435,4605.71,930000.00 
342,53556242662768290EE20933,1092,8011.32,200000.00 
749,53274465920638886SL86067,601,11149.2,353440.00 
749,53996126514459403KP18497,364,1899.74,489104.00 
212,53925324952698919BT73856,196,1207.86,200000.00 
736,53886010603785836DP77910,1081,10972.48,987370.00 
985,53723932251872872SS89356,550,2241.28,500000.00 
985,53290687234588678SL35404,390,18202.31,1276000.00 
212,53802040627034340MT77343,650,10557.02,100200.00 
985,53544078018943768KB53369,639,4015.45,917400.00 
274,53793001559878068TR61730,178,1627.89,205432.00 
299,53490229151447111PD88450,168,1190.58,1000000.00 
752,53873591272286396DP80270,706,6725.36,271523.00 
274,53905049732365520LR72407,100,653.02,933128.00 
333,53704076324324468SH50707,57,336.64,244000.00 
866,53284316485813489OB42316,413,1891.78,711334.00 
233,53613116070705257WS67596,522,1623.26,1176495.00 
866,53224728843030660FR46464,206,10536.13,173349.00 
233,53488158003420087OR39592,1809,34303.28,1000000.00 
290,53451860159323715TM33843,138,382.96,200000.00 
212,53303020205572114QC97858,35,91.91,165000.00 
212,53281934615938602EZ97000,90,197.92,500000.00 
758,53199436169270646KX76899,290,2446.56,240846.00 
212,53467214991306039QW59866,49,136.11,329970.00 
183,53717632568166992AF32226,120,639.46,2000000.00 
183,53752706581086874GS84318,37,111.86,2000000.00 
766,53126689741325358KE39924,382,651.53,6000000.00 
985,53119331900118709YX43554,227,1175.97,990000.00 
963,53779071119847912FR38256,353,2564.83,50000.00 
984,53511165791747870KN65427,228,1545.35,500000.00 
179,53375531620824945IX13717,184,1035.34,468000.00 
984,53108849614987267TL16579,188,1050.63,500000.00 
123,53904570748646281FU16288,106,178.62,100000.00 
258,53776434932073454DU93049,164,652.54,1500000.00 
732,53534232343186402QO50825,105,750.41,515000.00 
444,53874898889732101SE56354,9662,313057.18,600000.00 
258,53335796102904435TK34082,130,1151.44,2050000.00 
732,53625607950375323DH97290,139,694.92,121000.00 
258,53315824274321851XQ17273,138,1511.43,2500000.00 
827,53353838385305382FE80976,45,1123.66,812111.00 
79,53658684888089991WF43197,62,71.93,402000.00 
79,53292041656753464SL64973,53,234.64,800000.00 
737,53706052893985626RV81518,421,5400.91,1000000.00 
737,53496227221618509GS60289,91,348.34,298000.00 
719,53201356037793461KE30962,1718,27710.07,220768.00 
719,53774002216865576FR36910,28,155.23,60555.00 
420,53677751790240325EV31287,56,284.91,150000.00 
727,53237704067475420YB38926,48,294.47,1210000.00 
794,53366442027741792PG37371,110,2161.47,6555556.00 
756,53115698142002377NR49279,236,3615.66,200000.00 
765,53191260842514888ZX89752,1382,10060.52,300527.00 
727,53496266894469880EV48749,1757,19434.83,10000000.00 
754,53131214512204106JL50093,815,1633.06,96889.00 
737,53977070508062702ES70194,473,3126.4,122010.00 
469,53674919557528234OR27289,606,4555.88,920212.00 
212,53360241365689532KI64469,233,1906.23,515160.00 
765,53907831531207661CH73554,582,17856.45,96112.00 
738,53406534716436868VG22123,505,3434.17,500000.00 
724,53514821277284010UY94961,699,8371.15,1000000.00 
888,53391596468949692GW10977,747,17234.14,3000000.00 
765,53333588699680753AW42843,591,24216.82,449820.00 
754,53323076753975505YK63189,184,1706.79,500000.00 
754,53469545374944267BZ90112,393,30178.41,52717.00 
212,53332453794451118MB93419,319,2750.99,150000.00 
212,53301328100693272IL14446,483,13449.66,23000.00 
183,53958911207380867LE93473,280,1942.66,2000000.00 
745,53228231428950529IU12485,146,6236.22,1602900.00 
765,53304850096927379AG10400,124,664.39,1000000.00 
737,53953906732120022GB74852,1191,8544.65,301091.00 
794,53263178682024961WC66973,3492,247815.53,2000000.00 
765,53589930070017047CU61125,85,381.23,1000000.00 
765,53859497330558757KL20696,430,11810.22,1000000.00 
872,53865680753346898FN74401,207,2059.43,5050000.00 
732,53962431473647211HA35236,299,3989.8,3240000.00 
872,53531536563065856NT86540,106,765.94,5050000.00 
212,53458887151140513YK67952,12685,871977.93,1150000.00 
174,53454290385480379QQ84174,78,550.2,6490.00 
888,53315823385827661HD75240,388,3931.93,500000.00 
212,53785438299819977VW55096,12725,874260.99,1000000.00 
212,53205334720132061QT98716,13469,856108.97,1100000.00 
765,53230193052444940WC91644,925,33307.97,63967.00 
134,53691247582440746SZ13613,95,368.36,700000.00 
134,53247452618405732BL31494,153,871.91,86700.00 
528,53469802976756482HP29000,88,740.35,49500.00 
88,53874474253083978CS25087,276,9675.58,345670.00 
869,53219420707634407RX44337,292,2901.45,572000.00 
765,53507358249644797YN11571,92,1069.62,1000000.00 
292,53541122496910607PU40383,144,1598.5,201000.00 
221,53908863181486526YL65254,331,11739.07,1000000.00 
749,53734941473582745FQ68700,997,14915.1,243086.00 
878,53885490731917698CH28106,239,3763.92,218000.00 
765,53544267188232612HW12282,277,4397.54,1000000.00 
727,53673652492185486KW29836,84,620.87,50000.00 
719,53271164017729141MC14652,247,2218.44,363073.00 
233,53669313048359459YR19582,68,613.8,4200000.00 
727,53803607663522837KG99810,3646,802719.12,2000000.00 
794,53759166459239323FY34013,311,3203.41,2000000.00 
179,53109999958257166JD26893,139,890.3,8000000.00 
794,53642604881799314RX85006,138,2003.56,1168969.00 
550,53145832071327529VB62832,156,1057.94,700000.00 
794,53630818396730868UR40585,144,3100.23,59567.00 
766,53757850508493891CY56089,192,3849.06,4995944.00 
327,53486435110899772JL42509,458,7128.38,700000.00 
116,53817409433362862RV99498,85,115.56,488947.00 
576,53448723527880160BY15132,589,6052.45,15844500.00 
736,53381411525678174AJ50510,156,334.94,98222.00 
736,53628090677906144WO66811,341,3076.81,14531.00 
736,53939045477369679SH13770,107,35.19,115051.00 
752,53692540735206596LT16610,202,2077.4,600000.00 
758,53641486939505149HH85585,298,453.84,322105.00 
142,53271257738461953XV72715,311,21813.51,221453.00 
212,53854100715204629MP91492,1808,11783.79,100000.00 
212,53989473071643810KP20795,270,2212.91,500000.00 
758,53530089554303823OI45906,373,640.64,320596.00 
758,53366692214561315OU73338,91,245.79,78947.00 
719,53890866513708953HB79089,91,368.76,258756.00 
212,53587836755146937RN31965,17082,1381793.02,1500000.00 
754,53441176441261796UA52547,59,347.53,430000.00 
346,53947253821370241QZ53778,76,812.11,1500000.00 
754,53905843658195054OZ53969,409,9363.61,2150538.00 
737,53290022350948311LU17132,246,2668.73,550000.00 
212,53815019203918329OA97478,749,173290.92,308000.00 
770,53641937107818152TA48247,163,1144.8,1646100.00 
528,53601551312082954VG90990,124,800.67,95556.00 
212,53456885023960579UR91101,4373,302891.39,360148.00 
719,53556858964142710PH60011,420,6160.31,100000.00 
719,53420384499848916KY11072,324,2413.59,89347.00 
719,53839857451759488LD75860,306,5650.24,530000.00 
869,53905878090572085SF41927,230,999.01,396000.00 
749,53341026474890662UB37610,30778,994856.33,3000000.00 
984,53664048529082165XL33090,77,140.07,500000.00 
212,53199309482661799NK82419,794,250737.12,296000.00 
228,53739483534766224XK43435,233,1287.87,324800.00 
79,53816268263444592OO91391,2204,34531.11,5500000.00 
