Ini_name,Ini_contact
北京市众安公益基金会,11194343783
中国红十字基金会,13954762097
中国扶贫基金会,12917313261
爱德基金会,15062333105
上海仁德基金会,18220793059
天津市妇女儿童发展基金会,17125631702
上海市华侨事业发展基金会,13182204147
北京市红十字基金会,16426874078
中国社会福利基金会,19808740050
上海联劝公益基金会,17072438115
四川省红十字基金会,12932603203
成都市慈善总会,12182384641
深圳壹基金公益基金会,14321440441
中华社会救助基金会,17652367071
中华少年儿童慈善救助基金会,17679362607
重庆市慈善总会,14301837122
湖南省朝阳公益基金会,12626362653
山东省扶贫开发基金会,16113054382
浙江省残疾人福利基金会,14946382718
无锡灵山慈善基金会,14331316700
泰安市泰山慈善基金会,11755938432
安徽仁爱公益基金会,15037879526
重庆儿童救助基金会,17921199474
湖南省红十字会,19012332314
中国妇女发展基金会,18758492966
四川省残疾人福利基金会,14730792043
浙江省妇女儿童基金会,14851709987
广西红十字基金会,19667418301
天津市社会救助基金会,16938410846
南昌市青少年发展基金会,14406316917
沈阳市慈善总会,12791000052
上海市拥军优属基金会,17574585405
浙江省阳光教育基金会,16410292823
深圳市老龄事业发展基金会,13129731617
河南省慈善总会,14744913566
中国志愿服务基金会,13792409305
中国听力医学发展基金会,18794356815
成都市残疾人福利基金会,11761034087
浙江省微笑明天慈善基金会,19227091408
苏州市儿童少年基金会,13931317393
滨州市慈善总会,15014255896
宁波市善园公益基金会,15325840075
福建省青少年发展基金会,18262939102
南京市慈善总会,13381408667
中国儿童少年基金会,15836722983
武陟县慈善协会,19061084787
浙江安福利生慈善基金会,17920242539
中华思源工程扶贫基金会,13817191852
陕西省慈善协会,17757787995
重庆市残疾人福利基金会,16648069395
深圳市慈善会,18707866522
中国绿化基金会,13920568398
山东省中投慈善公益基金会,11835107064
深圳市社会公益基金会,13327250348
天津市红十字会,15129515985
大连市慈善总会,16186734193
陇南光明公益联合会,19816073082
深圳市志愿服务基金会,13312879911
深圳市广电公益基金会,13833173198
西安市上善公益慈善基金会,17582535536
西安市善行公益慈善基金会,15983176190
湖南省佛慈基金会,15353840655
广州市慈善会,18022079301
云南省红十字会,16209426557
上海市慈善基金会,13353805263
中国光华科技基金会,11012812467
江西省红十字基金会,16351044185
长沙市慈善基金会,18471286223
