Project_Name,Project_id,Start_date,End_date,Introduction,Project_province,Category,Status
驰援云青川地震灾区,53106728454549540FW50071,2021/5/23,2021/11/19,为云南、青海等地震灾区受灾群众送去应急物资。,云南省,济困救灾,1
家庭箱驰援云南青海,53503475814015448QV76230,2021/5/22,2021/11/18,为受灾家庭提供一周应急生活所需。,西南地区,济困救灾,1
漾濞地震救援行动,53369144774195990DC96528,2021/5/22,2021/11/18,大灾无情人有情，每一份支持金就是对受灾群众最好的支持。,云南省,济困救灾,1
爱德驰援漾濞地震,53678042400837709RK27159,2021/5/22,2021/11/18,每1元一份爱心，让灾区群众感受到温暖。,云南省,济困救灾,1
让爱心小屋继续运行,53387585126140441DJ26161,2021/5/22,2021/6/30,为大病低收入家庭的陪护人员提供医院附近免费住所、厨房,四川省,济困救灾,1
滨城社工关爱,53659851665964736FA54604,2021/5/22,2021/11/18,您的一份爱心让更多的社会工作者得到关爱。,天津市,济困救灾,1
美好家园志愿店培育,53797821351151438IG85505,2021/5/22,2021/6/30,每家店能使1名残疾人就业、产出公益基金、促进社区融合。,上海市,济困救灾,1
地震无情天佑漾濞,53545188092911183UB22826,2021/5/22,2021/11/18,紧急驰援地震灾区受灾群众,云南省,济困救灾,1
紧急支援云南地震,53657751452140584MN81131,2021/5/22,2021/8/1,紧急驰援云南地震受灾群众。,云南省,济困救灾,1
驰援云南地震灾区,53478325801436139WE18522,2021/5/22,2021/6/30,为一线抗震救灾人员及困难群众提供应急安全卫生物资箱,云南省,济困救灾,1
急援云南青海灾区,53961769405680343HN35900,2021/5/22,2021/11/18,紧急驰援云南青海灾区，筹资灾害救援物资及生活保障,云南省,济困救灾,1
驰援青海云南地震,53940529641684188FF57536,2021/5/22,2021/11/18,紧急驰援青海云南地震,青海省,济困救灾,1
紧急驰援云南地震,53213284277331914XZ83196,2021/5/22,2021/11/18,云南漾濞县连发多次地震，震级达6.4级，壹家人紧急驰援。,云南省,济困救灾,1
云南漾濞地震救援,53134041364805629KS24680,2021/5/22,2021/11/18,云南漾濞地震救援行动,云南省,济困救灾,1
脑瘫康复计划,53257592317556699VF15736,2021/5/21,2021/11/17,通过多学科综合治疗方法，帮助脑瘫患儿。,全国范围,疾病救助,1
10元助力烧烫伤宝贝,53249183205141757YE53565,2021/5/21,2021/11/17,帮助一个孩子，就是帮助一个家庭,全国范围,疾病救助,1
好邻居邻里帮,53645139747678593IN29075,2021/5/21,2021/11/17,为困难居民提供帮助,重庆市,济困救灾,1
让爱回家防治家暴,53968332530548687LR43522,2021/5/21,2021/10/21,防治家暴公益行动 我在你身边,湖南省,济困救灾,1
精神障碍患者救助,53196544424064241RN73451,2021/5/21,2021/9/20,800元让一个贫困精神障碍患者享受安宁疗护,山东省,疾病救助,1
爱的成长青春礼包,53915944371081393HE24432,2021/5/21,2021/11/17,守护山区少数民族女生健康、快乐的成长，拥抱青春的美好。,云南省,济困救灾,1
梦想一改造家,53610598313197325YH59384,2021/5/21,2021/11/17,从环境改造到心灵家园的建设,浙江省,教育助学,1
